amsterdam_avg_temp
8.80
8.46
8.66
9.66
7.80
8.91
7.22
8.79
9.82
8.57
9.81
7.84
9.02
9.55
9.71
7.77
9.37
9.50
8.81
10.40
8.98
8.21
7.96
10.07
9.27
9.06
8.86
9.11
9.11
9.28
7.36
9.29
8.27
9.20
9.00
9.74
8.55
8.80
7.99
7.84
8.54
8.26
8.40
8.34
9.30
9.17
8.38
8.80
9.00
9.57
9.32
9.35
8.80
8.32
9.29
9.12
8.88
9.30
8.73
8.60
8.30
9.44
9.93
9.21
9.64
9.69
8.80
9.20
8.32
9.38
8.10
9.50
10.05
8.26
8.78
8.63
9.18
9.63
8.99
9.36
8.40
9.76
8.83
9.44
9.10
10.22
9.65
9.44
9.57
9.79
9.61
8.05
8.54
8.31
9.83
9.38
10.03
9.17
9.41
9.96
10.12
9.48
9.57
8.94
9.82
8.98
8.84
8.15
9.89
9.40
10.17
9.69
9.94
8.12
7.81
9.18
8.74
9.47
9.92
9.14
9.18
9.07
9.51
8.96
9.44
9.73
9.87
9.82
9.66
8.95
8.45
9.12
9.26
9.98
9.95
9.34
8.42
8.79
8.66
10.21
10.57
10.63
9.32
10.39
9.47
10.45
10.25
8.32
10.03
10.18
10.74
10.75
10.24
10.64
10.28
10.27
10.48
10.97
11.04
10.42
10.33
8.84
10.73
10.08
9.54
